method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean,postfilter_candidate_pool_lower_bound
adaptive_deg,0.001,0,9,64,L3,1.0,394.0,286.0,108,695.0,286.0,0,0,2.0531099999629987,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,9,64,L3,0.9,592.0,533.0,59,888.0,533.0,0,0,2.2449989999984155,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,9,64,L3,1.0,6576.0,6466.0,110,16017.0,247.0,16017,0,7.541126999996095,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,9,64,L3,1.0,784.0,676.0,108,656.0,250.0,1933,1933,3.8922210000009727,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,9,128,L3,1.0,530.0,310.0,220,875.0,310.0,0,0,3.342797999977165,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,9,128,L3,1.0,563.0,343.0,220,1728.0,343.0,0,0,2.9265119999877243,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,9,128,L3,1.0,578.0,358.0,220,3286.0,358.0,0,0,2.564208000023882,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,9,128,L3,1.0,581.0,361.0,220,6144.0,361.0,0,0,2.1963259999893125,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,9,128,L3,1.0,554.0,334.0,220,1393.0,334.0,0,0,3.1884050000030584,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,9,128,L3,1.0,811.0,699.0,112,1578.0,699.0,0,0,3.6303480000015043,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,9,128,L3,1.0,12715.0,12495.0,220,31372.0,310.0,31372,0,14.02198400000998,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,9,128,L3,1.0,1009.0,789.0,220,1251.0,310.0,3548,3548,6.879182999995237,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,9,256,L3,1.0,756.0,349.0,407,1667.0,349.0,0,0,4.798160999996526,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,9,256,L3,1.0,772.0,365.0,407,3352.0,365.0,0,0,4.1106890000151,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,9,256,L3,1.0,780.0,373.0,407,6355.0,373.0,0,0,3.58984799999007,1040,3.6619360000145207,42967,4.0,23.393063583815028,
